Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
100;C(100, 1, 16, 22);4;3.07071;920355;300
100;C(100, 2, 9, 44);4;3.07071;920355;300
100;C(100, 2, 41, 44);4;3.07071;920355;300
100;C(100, 3, 34, 48);4;3.07071;920355;300
100;C(100, 4, 18, 19);4;3.07071;920355;300
100;C(100, 4, 18, 31);4;3.07071;920355;300
100;C(100, 6, 23, 32);4;3.07071;920355;300
100;C(100, 6, 27, 32);4;3.07071;920355;300
100;C(100, 7, 12, 46);4;3.07071;920355;300
100;C(100, 8, 13, 14);4;3.07071;920355;300
100;C(100, 8, 14, 37);4;3.07071;920355;300
100;C(100, 11, 24, 42);4;3.07071;920355;300
100;C(100, 12, 43, 46);4;3.07071;920355;300
100;C(100, 16, 22, 49);4;3.07071;920355;300
100;C(100, 17, 26, 28);4;3.07071;920355;300
100;C(100, 21, 36, 38);4;3.07071;920355;300
100;C(100, 24, 39, 42);4;3.07071;920355;300
100;C(100, 26, 28, 33);4;3.07071;920355;300
100;C(100, 29, 36, 38);4;3.07071;920355;300
100;C(100, 34, 47, 48);4;3.07071;920355;300
101;C(101, 1, 11, 27);4;3.08;974710;303
101;C(101, 1, 14, 19);4;3.08;974710;303
101;C(101, 1, 15, 37);4;3.08;974710;303
101;C(101, 1, 16, 22);4;3.08;974710;303
101;C(101, 1, 23, 36);4;3.08;974710;303
101;C(101, 1, 30, 46);4;3.08;974710;303
101;C(101, 2, 9, 41);4;3.08;974710;303
101;C(101, 2, 22, 47);4;3.08;974710;303
101;C(101, 2, 27, 30);4;3.08;974710;303
101;C(101, 2, 28, 38);4;3.08;974710;303
101;C(101, 2, 29, 46);4;3.08;974710;303
101;C(101, 2, 32, 44);4;3.08;974710;303
101;C(101, 3, 7, 32);4;3.08;974710;303
101;C(101, 3, 10, 45);4;3.08;974710;303
101;C(101, 3, 11, 37);4;3.08;974710;303
101;C(101, 3, 20, 33);4;3.08;974710;303
101;C(101, 3, 35, 48);4;3.08;974710;303
101;C(101, 3, 42, 44);4;3.08;974710;303
101;C(101, 4, 7, 44);4;3.08;974710;303
101;C(101, 4, 9, 43);4;3.08;974710;303
101;C(101, 4, 13, 37);4;3.08;974710;303
101;C(101, 4, 18, 19);4;3.08;974710;303
101;C(101, 4, 25, 45);4;3.08;974710;303
101;C(101, 4, 41, 47);4;3.08;974710;303
101;C(101, 5, 6, 31);4;3.08;974710;303
101;C(101, 5, 9, 21);4;3.08;974710;303
101;C(101, 5, 14, 22);4;3.08;974710;303
101;C(101, 5, 17, 26);4;3.08;974710;303
101;C(101, 5, 28, 49);4;3.08;974710;303
101;C(101, 5, 34, 46);4;3.08;974710;303
101;C(101, 6, 11, 20);4;3.08;974710;303
101;C(101, 6, 13, 17);4;3.08;974710;303
101;C(101, 6, 14, 37);4;3.08;974710;303
101;C(101, 6, 22, 27);4;3.08;974710;303
101;C(101, 6, 35, 40);4;3.08;974710;303
101;C(101, 7, 8, 19);4;3.08;974710;303
101;C(101, 7, 11, 48);4;3.08;974710;303
101;C(101, 7, 13, 24);4;3.08;974710;303
101;C(101, 7, 41, 50);4;3.08;974710;303
101;C(101, 8, 11, 50);4;3.08;974710;303
101;C(101, 8, 13, 14);4;3.08;974710;303
101;C(101, 8, 15, 18);4;3.08;974710;303
101;C(101, 8, 26, 27);4;3.08;974710;303
101;C(101, 8, 36, 38);4;3.08;974710;303
101;C(101, 9, 10, 33);4;3.08;974710;303
101;C(101, 9, 25, 31);4;3.08;974710;303
101;C(101, 9, 30, 34);4;3.08;974710;303
101;C(101, 10, 12, 39);4;3.08;974710;303
101;C(101, 10, 18, 42);4;3.08;974710;303
101;C(101, 10, 28, 44);4;3.08;974710;303
101;C(101, 10, 34, 49);4;3.08;974710;303
101;C(101, 11, 26, 40);4;3.08;974710;303
101;C(101, 12, 21, 31);4;3.08;974710;303
101;C(101, 12, 22, 40);4;3.08;974710;303
101;C(101, 12, 26, 34);4;3.08;974710;303
101;C(101, 12, 27, 28);4;3.08;974710;303
101;C(101, 12, 44, 47);4;3.08;974710;303
101;C(101, 13, 20, 45);4;3.08;974710;303
101;C(101, 13, 42, 48);4;3.08;974710;303
101;C(101, 14, 16, 38);4;3.08;974710;303
101;C(101, 14, 26, 48);4;3.08;974710;303
101;C(101, 15, 17, 46);4;3.08;974710;303
101;C(101, 15, 23, 50);4;3.08;974710;303
101;C(101, 15, 27, 38);4;3.08;974710;303
101;C(101, 15, 35, 42);4;3.08;974710;303
101;C(101, 16, 25, 29);4;3.08;974710;303
101;C(101, 16, 26, 28);4;3.08;974710;303
101;C(101, 16, 30, 36);4;3.08;974710;303
101;C(101, 16, 47, 49);4;3.08;974710;303
101;C(101, 17, 20, 36);4;3.08;974710;303
101;C(101, 17, 23, 48);4;3.08;974710;303
101;C(101, 17, 30, 31);4;3.08;974710;303
101;C(101, 18, 20, 35);4;3.08;974710;303
101;C(101, 18, 33, 41);4;3.08;974710;303
101;C(101, 18, 39, 50);4;3.08;974710;303
101;C(101, 19, 23, 33);4;3.08;974710;303
101;C(101, 19, 35, 36);4;3.08;974710;303
101;C(101, 19, 37, 43);4;3.08;974710;303
101;C(101, 20, 23, 24);4;3.08;974710;303
101;C(101, 21, 22, 49);4;3.08;974710;303
101;C(101, 21, 24, 44);4;3.08;974710;303
101;C(101, 21, 29, 39);4;3.08;974710;303
101;C(101, 21, 33, 43);4;3.08;974710;303
101;C(101, 23, 42, 43);4;3.08;974710;303
101;C(101, 24, 33, 49);4;3.08;974710;303
101;C(101, 24, 39, 42);4;3.08;974710;303
101;C(101, 24, 45, 47);4;3.08;974710;303
101;C(101, 25, 28, 32);4;3.08;974710;303
101;C(101, 25, 30, 47);4;3.08;974710;303
101;C(101, 25, 39, 43);4;3.08;974710;303
101;C(101, 29, 31, 38);4;3.08;974710;303
101;C(101, 29, 32, 41);4;3.08;974710;303
101;C(101, 29, 34, 40);4;3.08;974710;303
101;C(101, 31, 36, 40);4;3.08;974710;303
101;C(101, 32, 43, 50);4;3.08;974710;303
101;C(101, 32, 45, 49);4;3.08;974710;303
101;C(101, 34, 39, 41);4;3.08;974710;303
101;C(101, 35, 38, 46);4;3.08;974710;303
101;C(101, 37, 45, 50);4;3.08;974710;303
101;C(101, 40, 46, 48);4;3.08;974710;303
102;C(102, 1, 10, 43);4;3.08911;989873;306
102;C(102, 1, 12, 31);4;3.08911;989873;306
102;C(102, 1, 14, 19);4;3.08911;989873;306
102;C(102, 1, 19, 48);4;3.08911;989873;306
102;C(102, 1, 23, 30);4;3.08911;989873;306
102;C(102, 1, 24, 43);4;3.08911;989873;306
102;C(102, 2, 29, 41);4;3.08911;989873;306
102;C(102, 4, 7, 31);4;3.08911;989873;306
102;C(102, 5, 7, 32);4;3.08911;989873;306
102;C(102, 5, 7, 36);4;3.08911;989873;306
102;C(102, 5, 11, 18);4;3.08911;989873;306
102;C(102, 5, 11, 50);4;3.08911;989873;306
102;C(102, 5, 13, 48);4;3.08911;989873;306
102;C(102, 5, 42, 49);4;3.08911;989873;306
102;C(102, 6, 7, 43);4;3.08911;989873;306
102;C(102, 6, 13, 49);4;3.08911;989873;306
102;C(102, 6, 19, 47);4;3.08911;989873;306
102;C(102, 6, 25, 41);4;3.08911;989873;306
102;C(102, 7, 13, 18);4;3.08911;989873;306
102;C(102, 7, 30, 31);4;3.08911;989873;306
102;C(102, 8, 11, 37);4;3.08911;989873;306
102;C(102, 11, 24, 49);4;3.08911;989873;306
102;C(102, 11, 30, 35);4;3.08911;989873;306
102;C(102, 11, 37, 42);4;3.08911;989873;306
102;C(102, 12, 13, 43);4;3.08911;989873;306
102;C(102, 12, 25, 47);4;3.08911;989873;306
102;C(102, 12, 35, 37);4;3.08911;989873;306
102;C(102, 13, 22, 43);4;3.08911;989873;306
102;C(102, 13, 28, 49);4;3.08911;989873;306
102;C(102, 16, 23, 29);4;3.08911;989873;306
102;C(102, 18, 23, 29);4;3.08911;989873;306
102;C(102, 18, 41, 47);4;3.08911;989873;306
102;C(102, 19, 23, 24);4;3.08911;989873;306
102;C(102, 19, 29, 42);4;3.08911;989873;306
102;C(102, 19, 40, 47);4;3.08911;989873;306
102;C(102, 20, 35, 49);4;3.08911;989873;306
102;C(102, 23, 26, 31);4;3.08911;989873;306
102;C(102, 23, 31, 42);4;3.08911;989873;306
102;C(102, 24, 25, 35);4;3.08911;989873;306
102;C(102, 25, 35, 44);4;3.08911;989873;306
102;C(102, 25, 36, 37);4;3.08911;989873;306
102;C(102, 25, 46, 47);4;3.08911;989873;306
102;C(102, 29, 36, 41);4;3.08911;989873;306
102;C(102, 29, 47, 48);4;3.08911;989873;306
102;C(102, 30, 37, 41);4;3.08911;989873;306
102;C(102, 31, 36, 43);4;3.08911;989873;306
102;C(102, 35, 48, 49);4;3.08911;989873;306
102;C(102, 37, 38, 41);4;3.08911;989873;306
103;C(103, 1, 7, 43);5;3.11765;1079846;309
103;C(103, 1, 11, 18);5;3.11765;1079846;309
103;C(103, 1, 11, 28);5;3.11765;1079846;309
103;C(103, 1, 12, 19);5;3.11765;1079846;309
103;C(103, 1, 14, 36);5;3.11765;1079846;309
103;C(103, 1, 20, 29);5;3.11765;1079846;309
103;C(103, 1, 21, 29);5;3.11765;1079846;309
103;C(103, 1, 21, 47);5;3.11765;1079846;309
103;C(103, 1, 21, 49);5;3.11765;1079846;309
103;C(103, 1, 22, 32);5;3.11765;1079846;309
103;C(103, 1, 28, 40);5;3.11765;1079846;309
103;C(103, 1, 32, 49);5;3.11765;1079846;309
103;C(103, 1, 37, 49);5;3.11765;1079846;309
103;C(103, 1, 38, 44);5;3.11765;1079846;309
103;C(103, 1, 39, 46);5;3.11765;1079846;309
103;C(103, 2, 5, 29);5;3.11765;1079846;309
103;C(103, 2, 5, 39);5;3.11765;1079846;309
103;C(103, 2, 5, 42);5;3.11765;1079846;309
103;C(103, 2, 9, 42);5;3.11765;1079846;309
103;C(103, 2, 11, 25);5;3.11765;1079846;309
103;C(103, 2, 14, 17);5;3.11765;1079846;309
103;C(103, 2, 15, 27);5;3.11765;1079846;309
