Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
3;C(3, 1, 2);1;1;1;6
4;C(4, 1, 2);1;1;5;8
5;C(5, 1, 2);1;1;9;10
6;C(6, 1, 2);2;1.2;16;12
7;C(7, 1, 2);2;1.33333;45;14
8;C(8, 1, 2);2;1.42857;48;16
9;C(9, 1, 2);2;1.5;63;18
10;C(10, 1, 4);2;1.55556;98;20
11;C(11, 1, 3);2;1.6;235;22
12;C(12, 2, 3);2;1.63636;253;24
13;C(13, 1, 5);2;1.66667;276;26
14;C(14, 1, 4);3;1.76923;384;28
15;C(15, 1, 4);3;1.85714;373;30
16;C(16, 1, 6);3;1.93333;1361;32
17;C(17, 1, 4);3;2;710;34
18;C(18, 1, 4);3;2.05882;826;36
19;C(19, 1, 4);3;2.11111;1007;38
20;C(20, 1, 8);3;2.15789;1090;40
21;C(21, 1, 6);3;2.2;1435;42
22;C(22, 1, 6);3;2.2381;1662;44
23;C(23, 1, 5);3;2.27273;1922;46
24;C(24, 3, 4);3;2.30435;2270;48
25;C(25, 1, 7);3;2.33333;2400;50
26;C(26, 1, 10);4;2.4;2556;52
27;C(27, 1, 6);4;2.46154;3023;54
28;C(28, 1, 6);4;2.51852;3337;56
29;C(29, 1, 8);4;2.57143;3932;58
30;C(30, 2, 9);4;2.62069;4378;60
31;C(31, 1, 7);4;2.66667;5211;62
32;C(32, 1, 7);4;2.70968;5636;64
33;C(33, 1, 6);4;2.75;6270;66
34;C(34, 1, 6);4;2.78788;7106;68
35;C(35, 1, 10);4;2.82353;8392;70
36;C(36, 1, 8);4;2.85714;8611;72
37;C(37, 1, 8);4;2.88889;10214;74
38;C(38, 1, 16);4;2.91892;10595;76
39;C(39, 1, 7);4;2.94737;12253;78
40;C(40, 4, 5);4;2.97436;12746;80
41;C(41, 1, 9);4;3;14769;82
42;C(42, 1, 16);5;3.04878;14012;84
43;C(43, 1, 12);5;3.09524;17289;86
44;C(44, 1, 8);5;3.13953;17850;88
45;C(45, 1, 8);5;3.18182;19599;90
46;C(46, 1, 10);5;3.22222;20281;92
47;C(47, 1, 13);5;3.26087;24058;94
48;C(48, 1, 20);5;3.29787;23693;96
49;C(49, 1, 9);5;3.33333;26536;98
50;C(50, 1, 9);5;3.36735;26281;100
